2026-05-11 15:36:03,514 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-05-11 15:38:09,541 | PROCESSOR_MANAGER | INFO | All processes finished
2026-05-11 16:01:38,768 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-05-11 16:01:38,797 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-05-11 16:03:44,182 | PROCESSOR_MANAGER | INFO | All processes finished
2026-05-11 19:40:00,880 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-05-11 19:40:00,908 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-05-11 19:42:04,830 | PROCESSOR_MANAGER | INFO | All processes finished
2026-05-11 20:38:18,372 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-05-11 20:38:18,408 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-05-11 20:40:22,587 | PROCESSOR_MANAGER | INFO | All processes finished
2026-05-11 20:41:19,486 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-05-11 20:41:19,521 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-05-11 20:43:24,622 | PROCESSOR_MANAGER | INFO | All processes finished
2026-05-11 20:49:09,711 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-05-11 20:49:09,744 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-05-11 20:51:14,674 | PROCESSOR_MANAGER | INFO | All processes finished
2026-05-11 20:58:52,239 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-05-11 20:58:52,290 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-05-11 21:01:00,176 | PROCESSOR_MANAGER | INFO | All processes finished
2026-05-11 22:52:39,268 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-05-11 22:52:39,303 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-05-11 22:52:40,576 | PROCESSOR_MANAGER | INFO | All processes finished
2026-05-11 23:14:20,027 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-05-11 23:14:20,044 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-05-11 23:16:26,003 | PROCESSOR_MANAGER | INFO | All processes finished
2026-05-12 00:05:41,087 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-05-12 00:05:41,126 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-05-12 00:07:45,824 | PROCESSOR_MANAGER | INFO | All processes finished
2026-05-12 00:24:46,130 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-05-12 00:24:46,153 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-05-12 00:27:00,474 | PROCESSOR_MANAGER | INFO | All processes finished
2026-05-12 00:35:05,847 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-05-12 00:35:05,876 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-05-12 00:37:10,303 | PROCESSOR_MANAGER | INFO | All processes finished
2026-05-12 11:18:07,758 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-05-12 11:18:07,794 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-05-12 11:20:19,661 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
