2026-05-19 20:52:31,939 | DETECTION_SUBSCRIBER | INFO | Published To : safety
2026-05-19 20:52:31,943 | DETECTION_SUBSCRIBER | INFO | Published To : safety
2026-05-19 20:52:31,953 | DETECTION_SUBSCRIBER | INFO | Processing Detection : c1
2026-05-19 20:52:33,593 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:33,596 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:33,598 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:33,601 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:33,606 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:33,609 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:33,612 | DETECTION_SUBSCRIBER | INFO | Published To : safety
2026-05-19 20:52:33,616 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:33,619 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:33,624 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:33,628 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:33,634 | DETECTION_SUBSCRIBER | INFO | Processing Detection : c2
2026-05-19 20:52:35,291 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:35,293 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:35,298 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:35,298 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:35,303 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:35,303 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:35,311 | DETECTION_SUBSCRIBER | INFO | Processing Detection : c3
2026-05-19 20:52:36,940 | DETECTION_SUBSCRIBER | INFO | Published To : safety
2026-05-19 20:52:36,943 | DETECTION_SUBSCRIBER | INFO | Published To : safety
2026-05-19 20:52:36,948 | DETECTION_SUBSCRIBER | INFO | Processing Detection : c1
2026-05-19 20:52:38,567 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:38,569 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:38,573 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:38,575 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:38,580 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:38,583 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:38,585 | DETECTION_SUBSCRIBER | INFO | Published To : safety
2026-05-19 20:52:38,589 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:38,593 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:38,597 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:38,597 | DETECTION_SUBSCRIBER | INFO | Processing Detection : c2
2026-05-19 20:52:40,142 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:40,142 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:40,157 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:40,159 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:40,161 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:40,161 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:40,174 | DETECTION_SUBSCRIBER | INFO | Processing Detection : c3
2026-05-19 20:52:41,837 | DETECTION_SUBSCRIBER | INFO | Published To : safety
2026-05-19 20:52:41,837 | DETECTION_SUBSCRIBER | INFO | Published To : safety
2026-05-19 20:52:41,846 | DETECTION_SUBSCRIBER | INFO | Processing Detection : c1
2026-05-19 20:52:43,430 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:43,432 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:43,438 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:43,443 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:43,444 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:43,451 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:43,458 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:43,461 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:43,467 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:43,467 | DETECTION_SUBSCRIBER | INFO | Published To : vehicle
2026-05-19 20:52:43,472 | DETECTION_SUBSCRIBER | INFO | Processing Detection : c2
2026-05-19 20:52:45,350 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:45,365 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:45,365 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:45,365 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
2026-05-19 20:52:45,365 | DETECTION_SUBSCRIBER | INFO | Published To : fire_smoke
