2026-05-19 21:12:45,453 | MAIN | INFO | Loading cameras into Redis
2026-05-19 21:12:45,510 | MAIN | INFO | Loaded 4 cameras
2026-05-19 22:03:47,560 | MAIN | INFO | Loading cameras into Redis
2026-05-19 22:03:47,626 | MAIN | INFO | Loaded 4 cameras
2026-05-19 22:34:16,908 | MAIN | INFO | Loading cameras into Redis
2026-05-19 22:34:16,954 | MAIN | INFO | Loaded 4 cameras
2026-05-20 22:22:12,568 | MAIN | INFO | Loading cameras into Redis
2026-05-20 22:22:12,676 | MAIN | INFO | Loaded 4 cameras
2026-05-20 22:56:24,467 | MAIN | INFO | Loading cameras into Redis
2026-05-20 22:56:24,499 | MAIN | INFO | Loaded 4 cameras
2026-05-22 11:26:40,924 | MAIN | INFO | Loading cameras into Redis
2026-05-22 11:26:40,989 | MAIN | INFO | Loaded 4 cameras
2026-05-22 12:35:25,731 | MAIN | INFO | Loading cameras into Redis
2026-05-22 12:35:25,837 | MAIN | INFO | Loaded 4 cameras
2026-06-01 13:19:18,148 | MAIN | INFO | Loading cameras into Redis
2026-06-01 13:19:18,203 | MAIN | INFO | Loaded 4 cameras
2026-06-01 13:39:25,509 | MAIN | INFO | Loading cameras into Redis
2026-06-01 13:39:25,555 | MAIN | INFO | Loaded 4 cameras
2026-06-01 17:53:42,686 | MAIN | INFO | Loading cameras into Redis
2026-06-01 17:53:42,778 | MAIN | INFO | Loaded 4 cameras
2026-06-01 18:12:41,771 | MAIN | INFO | Loading cameras into Redis
2026-06-01 18:12:41,838 | MAIN | INFO | Loaded 4 cameras
2026-06-01 18:20:17,813 | MAIN | INFO | Loading cameras into Redis
2026-06-01 18:20:17,863 | MAIN | INFO | Loaded 4 cameras
2026-06-01 18:48:39,049 | MAIN | INFO | Loading cameras into Redis
2026-06-01 18:48:39,107 | MAIN | INFO | Loaded 4 cameras
2026-06-01 21:05:57,772 | MAIN | INFO | Loading cameras into Redis
2026-06-01 21:05:57,862 | MAIN | INFO | Loaded 4 cameras
2026-06-01 21:54:52,383 | MAIN | INFO | Loading cameras into Redis
2026-06-01 21:54:52,450 | MAIN | INFO | Loaded 4 cameras
2026-06-01 22:01:37,253 | MAIN | INFO | Loading cameras into Redis
2026-06-01 22:01:37,365 | MAIN | INFO | Loaded 4 cameras
2026-06-02 10:24:36,792 | MAIN | INFO | Loading cameras into Redis
2026-06-02 10:24:36,884 | MAIN | INFO | Loaded 4 cameras
2026-06-02 11:00:24,541 | MAIN | INFO | Loading cameras into Redis
2026-06-02 11:00:24,663 | MAIN | INFO | Loaded 4 cameras
2026-06-02 11:40:02,089 | MAIN | INFO | Loading cameras into Redis
2026-06-02 11:40:02,143 | MAIN | INFO | Loaded 4 cameras
2026-06-02 12:13:24,706 | MAIN | INFO | Loading cameras into Redis
2026-06-02 12:13:24,780 | MAIN | INFO | Loaded 4 cameras
2026-06-02 12:50:53,479 | MAIN | INFO | Loading cameras into Redis
2026-06-02 12:50:53,523 | MAIN | INFO | Loaded 4 cameras
2026-06-02 14:20:35,131 | MAIN | INFO | Loading cameras into Redis
2026-06-02 14:20:35,196 | MAIN | INFO | Loaded 4 cameras
