2026-05-11 15:29:03,446 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
2026-05-11 15:29:03,448 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
2026-05-11 15:36:03,479 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-05-11 15:36:03,482 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
2026-05-11 15:36:03,484 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
2026-05-11 15:36:03,486 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
2026-05-11 16:01:38,758 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-05-11 16:01:38,758 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
2026-05-11 16:01:38,758 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
2026-05-11 16:01:38,768 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
2026-05-11 19:38:02,784 | REDIS_SERVER | INFO | Error in Line no : 89: due to Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it.
2026-05-11 19:40:00,870 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-05-11 19:40:00,873 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
2026-05-11 19:40:00,873 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
2026-05-11 19:40:00,879 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
2026-05-11 20:38:18,368 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-05-11 20:38:18,368 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
2026-05-11 20:38:18,372 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
2026-05-11 20:38:18,372 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
2026-05-11 20:41:19,475 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-05-11 20:41:19,478 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
2026-05-11 20:41:19,480 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
2026-05-11 20:41:19,480 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
2026-05-11 20:49:09,705 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-05-11 20:49:09,705 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
2026-05-11 20:49:09,711 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
2026-05-11 20:49:09,711 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
2026-05-11 20:58:52,239 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-05-11 20:58:52,239 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
2026-05-11 20:58:52,239 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
2026-05-11 20:58:52,239 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
2026-05-11 22:52:39,246 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-05-11 22:52:39,262 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
2026-05-11 22:52:39,264 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
2026-05-11 22:52:39,268 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
2026-05-11 23:14:20,022 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-05-11 23:14:20,027 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
2026-05-11 23:14:20,027 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
2026-05-11 23:14:20,027 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
2026-05-12 00:05:41,073 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-05-12 00:05:41,075 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
2026-05-12 00:05:41,077 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
2026-05-12 00:05:41,081 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
2026-05-12 00:24:46,125 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-05-12 00:24:46,125 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
2026-05-12 00:24:46,129 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
2026-05-12 00:24:46,130 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
2026-05-12 00:35:05,829 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-05-12 00:35:05,837 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
2026-05-12 00:35:05,842 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
2026-05-12 00:35:05,843 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
2026-05-12 11:18:07,749 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-05-12 11:18:07,750 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
2026-05-12 11:18:07,754 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
2026-05-12 11:18:07,755 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
2026-05-12 11:20:19,654 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-05-12 11:20:19,657 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
2026-05-12 11:20:19,659 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
2026-05-12 11:20:19,661 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
2026-05-12 14:11:27,058 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-05-12 14:11:27,058 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
2026-05-12 14:11:27,066 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
2026-05-12 14:11:27,067 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
2026-05-12 15:02:14,285 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-05-12 15:02:14,288 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
2026-05-12 15:02:14,291 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
2026-05-12 15:02:14,293 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
2026-05-12 15:29:23,420 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-05-12 15:29:23,420 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
2026-05-12 15:29:23,420 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
2026-05-12 15:29:23,420 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
2026-05-12 17:00:09,569 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-05-12 17:00:09,594 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
2026-05-12 17:00:09,599 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
2026-05-12 17:00:09,599 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
2026-05-12 17:16:46,849 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-05-12 17:16:46,850 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
2026-05-12 17:16:46,852 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
2026-05-12 17:16:46,854 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
2026-05-12 17:32:57,641 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-05-12 17:32:57,641 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
2026-05-12 17:32:57,648 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
2026-05-12 17:32:57,651 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
2026-05-18 20:15:58,049 | REDIS_SERVER | INFO | Error in Line no : 20: due to Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it.
2026-05-18 20:16:41,039 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-05-18 20:16:41,044 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
2026-05-18 20:16:41,050 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
2026-05-18 20:16:41,052 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
2026-05-19 20:10:22,583 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-05-19 20:10:22,588 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
2026-05-19 20:10:22,588 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
